Date;Screen Name;Full Name;Tweet Text;Tweet ID;App;Followers;Follows;Retweets;Favorites;Verfied;User Since;Location;Bio;Profile Image;Google Maps;tweet text;eq?;random;Positive for CL? 1=Yes, 0=No
26.05.17 14:09;@JLithium;Mateo H. Sanclemente;@jorgepatarroyo1 @ClaudiaLopez Aquel que lucha contra monstruos debe cuidarse de no convertirse en uno —Nietzsche en paráfrasis;868212518879211000;Twitter for iPhone;115;239;0;0;No;30.10.2010;Bogotá, Colombia;I've got Nothing to lose!;View;;@jorgepatarroyo1 @claudialopez aquel que lucha contra monstruos debe cuidarse de no convertirse en uno —nietzsche en paráfrasis;FALSCH;1,47796E-05;1
30.05.17 13:38;@simedi21;cecilia lozano;RT @PerrofantasmaBO: @WRadioColombia @ClaudiaLopez Señora López, entregar quitando a sus legítimos propietarios se llama expropiar. Algo mu…;869654185729556000;Twitter for iPhone;402;250;1;0;No;18.04.2014;;;View;;rt @perrofantasmabo: @wradiocolombia @claudialopez señora lópez, entregar quitando a sus legítimos propietarios se llama expropiar. algo mu…;FALSCH;5,38497E-05;0
27.05.17 20:47;@gualo1001;oswaldo trejos rios;@Camilabaron26 @galloalex23 @ChavezTrump @VickyDavilaH @ClaudiaLopez no me gusta ordoñez pero si mi presidente me d… https://t.co/Ooa5jIM4x9;868675105613860000;Twitter Web Client;877;1691;0;0;No;02.12.2009;colombia;ahora sigue la batalla mas dura el ascenso de mi mechita del alma;View;;@camilabaron26 @galloalex23 @chaveztrump @vickydavilah @claudialopez no me gusta ordoñez pero si mi presidente me d… ;FALSCH;0,000184607;0
30.05.17 13:37;@simedi21;cecilia lozano;@WRadioColombia @ClaudiaLopez LAS CONFISCADAS AFARC? demagoga barata y oportunista LOS ÚNICOS QL VOTARAN SERAN LOS DSU GÉNERO CREDIBILIDAD 0;869654122408136000;Twitter for iPhone;402;250;0;0;No;18.04.2014;;;View;;@wradiocolombia @claudialopez las confiscadas afarc? demagoga barata y oportunista los únicos ql votaran seran los dsu género credibilidad 0;FALSCH;0,000467444;0
25.05.17 16:59;@gusgomez1701;GustavoGómezCórdoba;@andresdiaz8527 @LaLuciernaga @DianaCalderonF @Hora20 @ClaudiaLopez @alexandramonto Don Andrés, gracias.;867892970594467000;Twitter Web Client;404299;8689;0;0;No;16.02.2011;;República. Imperio de la ley. Democracia. Libre empresa. Libertad de expresión. ¿Es mucho pedir?;View;;@andresdiaz8527 @laluciernaga @dianacalderonf @hora20 @claudialopez @alexandramonto don andrés, gracias.;FALSCH;0,000719656;1
24.05.17 20:18;@luismidetotal;LUIS MIGUEL;"RT @ClaudiaLopez: Cinismo uribista volver ""perseguido político"" al prófugo AFArias, que enriqueció a privados y beneficio a su jefe con rec…";867580682960351000;Twitter for iPhone;1941;1576;1734;0;No;04.04.2010;;Síganme los buenos,q yo los seguiré.No me contaminó siguiendo a los malos y discutiendo con fanáticos uribistas/Peñalo$i$ta$ incoherentes.En modo:En manos Dios.;View;;"rt @claudialopez: cinismo uribista volver ""perseguido político"" al prófugo afarias, que enriqueció a privados y beneficio a su jefe con rec…";FALSCH;0,00077359;1
31.05.17 9:22;@william17435723;william;@JOSEPHRALPH @ClaudiaLopez LAS URIBESTIALIDADES SIEMPRE ESTARAN PRESENTES. MANTENGAMONOS ALERTAS.;869952317088518000;Twitter Web Client;7;139;0;0;No;26.07.2012;COLOMBIA;SECTOR EDUCATIVO.;View;;@josephralph @claudialopez las uribestialidades siempre estaran presentes. mantengamonos alertas.;FALSCH;0,000789131;1
25.05.17 14:48;@Martharoga;Marthy;@juankortiz80 @johnherd16 @CaracolRadio @ClaudiaLopez Contaminantes, el transporte por la 7 y la 68.;867859946389602000;Twitter for Android;134;50;1;0;No;12.03.2017;;;View;;@juankortiz80 @johnherd16 @caracolradio @claudialopez contaminantes, el transporte por la 7 y la 68.;FALSCH;0,000855944;1
31.05.17 22:10;@Danielcarooj;Daniel Caro;@thrino @CastroEdwinc @JeisonLubo @emaumor @ClaudiaLopez @petrogustavo Ahi les paso el dato! https://t.co/waduNL40Uz Un abrazo compañeros!;870145530600583000;Twitter Web Client;451;957;0;0;No;05.03.2011;Republiqueta Bananera-Colombia;Soy una mierda, pero una mierda con corazón. Apasionado por la vida. Estudiante de Ingeniería Industrial U.Militar Encantado de conocerte. Bienvenidos.;View;;@thrino @castroedwinc @jeisonlubo @emaumor @claudialopez @petrogustavo ahi les paso el dato!  un abrazo compañeros!;FALSCH;0,000964615;1
31.05.17 11:37;@mlandinez0306;Mike L;RT @alexa07022015: .@ClaudiaLopez se las da de pulcra, de honesta, pero mantiene de rumba con narcoterroristas https://t.co/CfuUFYCSSQ;869986124059598000;Twitter for iPhone;78;125;22;0;No;02.03.2012;;;View;;rt @alexa07022015: .@claudialopez se las da de pulcra, de honesta, pero mantiene de rumba con narcoterroristas ;FALSCH;0,001045993;0
01.06.17 10:31;@Alex789DXkl;Alexander Perez.;@CrodZmart @ricardog411 @mateoGQSG @ClaudiaLopez El está hablando del man llamado claudia Lopez.;870331912727937000;Twitter for Android;184;287;0;0;No;04.12.2011;el mundo;Facilites Manager professional, supervisor of Engineering. Donald Trump is going to Unscrew the whole fucking world.;View;;@crodzmart @ricardog411 @mateogqsg @claudialopez el está hablando del man llamado claudia lopez.;FALSCH;0,001053383;0
02.06.17 12:22;@jmmedios;Sr. Kaplan;@tatiannarive @ginachef Leer que @ClaudiaLopez y @sergio_fajardo son de izquierda es como pensar en @AlvaroUribeVel como democrata;870722234586943000;Twitter Web Client;3074;3058;0;0;No;18.04.2010;#KajitaDeArena™;Reportero de @RedMasNoticias. Soy la voz de #LasMañanas en @VioletaStereo. NO SE NADA DE LA VIDA... ESTOY IMPROVISANDO. #Rockero y #BatmanFan;View;;@tatiannarive @ginachef leer que @claudialopez y @sergio_fajardo son de izquierda es como pensar en @alvarouribevel como democrata;FALSCH;0,001058677;0
25.05.17 20:14;@JhonJhonjcm;Jhon;@ClaudiaLopez Cuando leo estos comentarios No se sin estoy en un mundo paralelo por eso este país tiene un futuro t… https://t.co/yrx7sP4UJJ;867942017908846000;Twitter Lite;14;121;0;0;No;20.05.2010;;;View;;@claudialopez cuando leo estos comentarios no se sin estoy en un mundo paralelo por eso este país tiene un futuro t… ;FALSCH;0,001131597;1
25.05.17 8:54;@RT_ACH;rosauramador;@ClaudiaLopez Disculpen pero político es político. Creeré en política el día que la ley legisle en contra de ellos con leyes durísimas.;867770966620995000;TweetDeck;155;818;1;3;No;22.11.2016;;;View;;@claudialopez disculpen pero político es político. creeré en política el día que la ley legisle en contra de ellos con leyes durísimas.;FALSCH;0,001212174;1
29.05.17 21:29;@ktina_mejia;Katina Mejía;RT @ce121963: @JuanRealDC @ClaudiaLopez que buena candidata para buscar el voto paisa uuufff;869410304467365000;Twitter for Android;899;1033;3;0;No;28.05.2016;Colombia;;View;;rt @ce121963: @juanrealdc @claudialopez que buena candidata para buscar el voto paisa uuufff;FALSCH;0,001269426;1
02.06.17 21:35;@osvaldom99;OsVaLdO R;@ClaudiaLopez senadora con cariño y admiración le escribo para preguntarle en que link puedo bajar el formulario y cooperar con la causa;870861564555010000;Twitter Web Client;34;38;1;0;No;02.01.2017;Barranquilla, Colombia;;View;;@claudialopez senadora con cariño y admiración le escribo para preguntarle en que link puedo bajar el formulario y cooperar con la causa;FALSCH;0,001289488;1
02.06.17 19:19;@garciafer2611;Fernando García;@ernestocortes28 @ClaudiaLopez Falta uno y escuchar.;870827252262588000;Twitter for Android;9;35;0;0;No;27.09.2016;;;View;;@ernestocortes28 @claudialopez falta uno y escuchar.;FALSCH;0,001303168;0
26.05.17 8:44;@arias_yhan;URIBISTA Y PATRIOTA;@VickyDavilaH @ClaudiaLopez cuanto te estan pagando para esta publicidad barata y terrorista;868130850201894000;Twitter for Android;1;31;0;0;No;08.03.2017;;;View;;@vickydavilah @claudialopez cuanto te estan pagando para esta publicidad barata y terrorista;FALSCH;0,00133348;0
25.05.17 19:44;@edwincontre;EdWIN CoNtReRaS;Marcha Docentes 25/05/2017 @ClaudiaLopez @LaLuciernaga @petrogustavo @JERobledo https://t.co/SizzxfEg31;867934495273615000;Twitter for Android;55;236;0;0;No;19.11.2009;Bogotá, Colombia;;View;;marcha docentes 25/05/2017 @claudialopez @laluciernaga @petrogustavo @jerobledo ;FALSCH;0,001334477;1
01.06.17 18:28;@juniortello;Junior Tello;@deje_alguito @Que_esperanza @Junasu_097 @navarrowolff @petrogustavo @ClaudiaLopez buajajaaa si por algo se caracte… https://t.co/PqwxQGmPVy;870452133774196000;Twitter Web Client;44;39;0;1;No;17.02.2010;;;View;;@deje_alguito @que_esperanza @junasu_097 @navarrowolff @petrogustavo @claudialopez buajajaaa si por algo se caracte… ;FALSCH;0,001390445;0
